houseid,is_mail,wthhfin5d_hi,wthhfin5d_nohol_hi,numadlt,smplsrce,homeown,hometype,rail,census_d,census_r,hh_hisp,drvrcnt,cnttdhh,cdivmsar,flag100,hhfaminc,hhfaminc_imp,hh_race,hhsize,hhvehcnt,hhrelatd,hhresp,lif_cyc,msacat,msasize,travday,urban,urbansize,urbrur,ppt517,youngchild,oamultadd1,oamultadd2,resp_cnt,confirmage,confirmedhome_addr1,confirmedhome_city,confirmedhome_formattedaddr,confirmedhome_latitude,confirmedhome_locname,confirmedhome_loctype,confirmedhome_longitude,confirmedhome_state,confirmedhome_streetaddr,confirmedhome_zip,urbrur_2010,tdaydate,wrkcount,stratumid_addon,home_geom_nrel,home_geom_nrel_zipcode
6000136565,2,54.27977514,59.28457959,1,3,3,3,2,9,4,2,1,1,92,1,3,3,1,1,1,2,1,1,2,4,6,1,3,1,0,0,5,3,1,1,REDACTED,Honolulu,REDACTED,REDACTED,REDACTED,1,REDACTED,HI,REDACTED,96816,1,202210,1,5001,REDACTED,96816
6000136569,2,25.23064151,0,2,3,3,3,2,9,4,2,2,2,92,1,6,6,1,2,1,1,1,10,2,4,6,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96814,1,202211,1,5001,,96814
6000136580,2,285.4955136,301.0896897,2,3,3,2,2,9,4,1,2,0,92,1,5,5,1,5,2,1,1,4,2,4,6,1,3,1,2,1,1,-1,4,1,,Honolulu,,,,1,,HI,,96818,1,202209,2,5001,,96818
6000136602,2,87.16112339,91.124832,2,3,1,3,2,9,4,1,2,3,92,1,10,10,3,2,2,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96813,1,202209,2,5001,,96813
6000136603,2,7.629342721,0,2,3,3,3,2,9,4,2,0,0,92,1,5,5,1,2,0,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202210,2,5001,,96826
6000136604,2,76.28209477,87.46136281,2,3,3,3,2,9,4,2,1,2,92,1,7,7,1,2,1,1,1,2,2,4,6,1,3,1,0,0,2,3,2,1,,Honolulu,,,,1,,HI,,96817,1,202210,2,5001,,96817
6000136613,2,11.09406661,11.50847994,3,3,3,3,2,9,4,2,2,2,92,1,6,6,5,3,1,1,1,10,2,4,2,1,3,1,0,0,5,3,3,1,,Honolulu,,,,1,,HI,,96815,1,202210,1,5001,,96815
6000136623,2,111.859236,116.9102496,1,3,3,3,2,9,4,2,0,0,92,1,3,3,1,1,0,2,1,9,2,4,5,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,0,5001,,96822
6000136628,2,36.44265777,36.82398793,2,3,3,3,2,9,4,2,2,8,92,1,3,3,5,5,0,1,1,6,2,4,5,1,3,1,3,0,1,-1,5,1,,Honolulu,,,,1,,HI,,96816,1,202210,2,5001,,96816
6000136630,2,110.1517952,106.6097779,1,3,1,2,2,9,4,2,1,0,92,1,8,8,3,2,1,1,1,3,2,4,4,1,3,1,0,1,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,0,5001,,96814
6000136654,2,59.08924069,57.82125383,1,3,1,2,2,9,4,2,1,2,92,1,6,6,1,1,1,2,1,9,2,4,3,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,0,5001,,96814
6000136670,2,44.03606319,43.0554719,2,3,3,3,2,9,4,2,2,4,92,1,10,10,1,2,1,1,1,10,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96815,1,202210,1,5001,,96815
6000136679,2,57.84025345,54.26460696,1,3,3,2,2,9,4,2,0,2,92,1,6,6,3,1,0,2,1,1,2,4,3,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96826,1,202210,1,5001,,96826
6000136689,2,239.7770363,272.6519296,1,3,3,3,2,9,4,2,0,2,92,1,5,5,3,1,0,2,1,1,2,4,6,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96826
6000136700,2,95.72441454,111.324148,2,3,3,3,2,9,4,2,2,2,92,1,6,6,1,2,1,1,1,2,2,4,6,1,3,1,0,0,5,3,2,1,,Kapolei,,,,1,,HI,,96707,1,202209,2,5001,,96707
6000136701,2,53.43924719,0,2,3,2,1,2,9,4,2,2,20,92,1,5,5,3,4,2,1,1,6,2,4,2,1,3,1,2,0,4,1,4,1,,Honolulu,,,,1,,HI,,96813,1,202209,1,5001,,96813
6000136739,2,170.0806788,157.193161,1,3,3,3,2,9,4,1,0,0,92,1,1,1,1,1,0,2,1,1,2,4,3,1,3,1,0,0,5,3,1,1,,Wahiawa,,,,1,,HI,,96786,1,202210,0,5001,,96786
6000136740,2,72.01616601,77.50962669,3,3,3,1,2,9,4,1,2,7,92,1,7,7,1,4,4,1,1,8,2,4,2,1,3,1,1,0,1,-1,4,1,,Honolulu,,,,1,,HI,,96813,1,202209,2,5001,,96813
