PERSID,UNO,IVTT,OVTT,TOTTIME,TOTCOST,TDUMMY,CHOSEN,HHSIZE,MALE,NUMVEH,WORKERS,VEHWORK,NEWINC,AEMPDENS,POPDENS,DIST,AGE,WEIGHT,UNOTRN,UNOSHR 
1,1,47,2,49,2.62,1,1,2,1,2,1,2,15000,1.87,23.2,26.7,46,1.8362,0,0
1,1,51.4,4.2,55.6,1.31,1,0,2,1,2,1,2,15000,1.87,23.2,26.7,46,1.8362,0,1
1,1,47.9,37.6,85.5,3,1,0,2,1,2,1,2,15000,1.87,23.2,26.7,46,1.8362,1,0
2,1,12,8,20,1.23,1,1,1,1,1,1,1,50000,371.44,35.52,4.9,31,1.8362,0,0
2,1,15.3,10.4,25.7,0.62,1,0,1,1,1,1,1,50000,371.44,35.52,4.9,31,1.8362,0,1
2,1,15.1,32.4,47.5,1.25,1,0,1,1,1,1,1,50000,371.44,35.52,4.9,31,1.8362,1,0
3,1,28,5,33,1.02,1,1,1,1,1,1,1,50000,7.36,35.52,2.8,31,1.8362,0,0
3,1,34.7,6.8,41.5,0.52,1,0,1,1,1,1,1,50000,7.36,35.52,2.8,31,1.8362,0,1
3,1,80.8,45,125.8,4.15,1,0,1,1,1,1,1,50000,7.36,35.52,2.8,31,1.8362,1,0
4,1,28,5,33,2.17,1,1,1,1,1,1,1,50000,7.36,35.52,22.1,31,1.8362,0,0
4,1,34.7,6.8,41.5,1.08,1,0,1,1,1,1,1,50000,7.36,35.52,22.1,31,1.8362,0,1
4,1,71,51.5,122.5,4.25,1,0,1,1,1,1,1,50000,7.36,35.52,22.1,31,1.8362,1,0
5,1,7,4,11,0.28,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,0.2982,0,0
5,1,9.4,6.3,15.7,0.14,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,0.2982,0,1
5,1,4.9,12.9,17.8,0,0,1,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,0.2982,1,0
6,1,6,4,10,0.28,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,0,0
6,1,8.1,5.9,14,0.14,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,0,1
6,1,4.9,12.4,17.3,0,0,1,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,1,0
7,1,6,4,10,0.28,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,0,0
7,1,8,5.6,13.6,0.14,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,0,1
7,1,4.9,17.7,22.6,0.75,0,1,4,0,2,4,0.5,70000,5.69,29.61,2.5,20,0.2982,1,0
8,1,6,4,10,2.74,0,1,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,0,0
8,1,8,5.6,13.6,1.37,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,0,1
8,1,4.9,13.4,18.3,0,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,1,0
9,1,6,4,10,2.74,0,1,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,0,0
9,1,8,5.6,13.6,1.37,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,0,1
9,1,4.9,19.2,24.1,0.75,0,0,4,0,2,4,0.5,70000,5.69,29.61,2.5,25,1.8362,1,0
10,1,14,2,16,0.51,1,1,1,0,1,1,1,50000,1.18,1.05,5.2,48,1.8362,0,0
10,1,16.7,4.2,20.9,0.26,1,0,1,0,1,1,1,50000,1.18,1.05,5.2,48,1.8362,0,1
10,1,31.5,32.8,64.3,0.75,1,0,1,0,1,1,1,50000,1.18,1.05,5.2,48,1.8362,1,0
11,1,13,2,15,0.66,1,1,1,0,1,1,1,50000,1.18,1.05,6.7,48,1.8362,0,0
11,1,15.7,3.8,19.5,0.33,1,0,1,0,1,1,1,50000,1.18,1.05,6.7,48,1.8362,0,1
11,1,31.5,32.8,64.3,0.75,1,0,1,0,1,1,1,50000,1.18,1.05,6.7,48,1.8362,1,0
12,1,18,7,25,0.53,1,1,2,0,2,2,1,50000,74.21,40.84,5.4,56,1.8362,0,0
12,1,20.9,9.4,30.3,0.27,1,0,2,0,2,2,1,50000,74.21,40.84,5.4,56,1.8362,0,1
12,1,21.1,26.3,47.4,0.75,1,0,2,0,2,2,1,50000,74.21,40.84,5.4,56,1.8362,1,0
13,1,15,7,22,4.4,1,1,3,1,2,2,1,65093.8,124.32,23.73,1.5,48,1.8362,0,0
13,1,18.9,9.2,28.1,2.19,1,0,3,1,2,2,1,65093.8,124.32,23.73,1.5,48,1.8362,0,1
13,1,18.8,24.8,43.6,1.25,1,0,3,1,2,2,1,65093.8,124.32,23.73,1.5,48,1.8362,1,0
14,1,11,4,15,0.39,1,1,3,1,2,2,1,70000,13.49,16.03,4,65,1.8362,0,0
